ASV	Algae1-1	Algae1-2	Algae1-5	Algae1-6	Algae2-2	Algae2-5	Algae2-6	Algae2-7	Stichodactyla1-1	Stichodactyla1-2	Porites1-12	Goniastrea1-14	Goniastrea1-1	Montipora1-2	Goniastrea1-3	Goniastrea1-5	Porites1-6	Goniastrea1-9	Goniastrea2-14	Goniastrea2-16	Goniastrea2-18	Goniastrea2-19	Porites2-1	Goniastrea2-2	Porites2-3	Montipora2-6	Porites2-7	Porites2-9	Amphisorus1-10	Sorites1-12	Sorites1-13	Sorites1-14	Amphisorus1-2	Amphisorus1-3	Amphisorus1-4	Amphisorus1-5	Amphisorus1-7	Sorites1-9	Amphisorus2-1	Sorites2-21	Sorites2-22	Sorites2-29	Amphisorus2-2	Amphisorus2-30	Amphisorus2-31	Amphisorus2-3	Amphisorus2-4	Amphisorus2-5	Amphisorus2-6	Sediment1-5	Sediment1-6	Sediment1-7	Sediment1-8	Sediment2-4	Sediment2-5	Sediment2-6	Sediment2-9	Water1-1	Water1-2	Water1-3	Water1-4	Water2-5	Water2-6	Water2-7	Water2-8	Tridacna1	Tridacna2	Tridacna3	Tridacna4	Tridacna5	Tridacna6	Tridacna7	Tridacna8	Tridacna9
ASV_215	0	0	319	62	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	392	0	0	0	4	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_217	0	0	0	0	955	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	292	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_225	104	0	9	0	412	12	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	24	0	12	24	0	0	0	0	0	0	0	0	30	0	5	0	16	0	36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_250	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	69	0	0	0	0	0	0	403	0	0	124	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_252	0	0	0	186	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	826	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_254	0	0	0	37	0	0	0	73	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	95	0	86	119	240	52	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0
ASV_275	148	21	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	59	25	33	0	0	0	211	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_279	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	43	58	0	0	0	0	51	0	0	0	0	0	0	244	0	0	105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_287	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	46	47	0	0	0	0	68	0	0	0	0	0	0	215	0	0	114	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_295	0	0	0	470	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_340	0	0	0	16	0	11	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	172	0	0	0	161	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
