				host_info if applicable						sampling info if applicable				Please place any additional columns you wish to add to the right of 'collection_depth'						
sample_name	fastq_fwd_file_name	fastq_rev_file_name	sample_type	host_phylum	host_class	host_order	host_family	host_genus	host_species	collection_latitude	collection_longitude	collection_date	collection_depth	site	type	sample_code				
Sediment2-9	/flash/HusnikU/Vera/Symbiodiniaceae/concat/S2_9_ITS2_S170_run1_2_R1_001.fastq.gz	/flash/HusnikU/Vera/Symbiodiniaceae/concat/S2_9_ITS2_S170_run1_2_R2_001.fastq.gz												2	Sediment	S2-9				
Tridacna1	/flash/HusnikU/Vera/Symbiodiniaceae/concat/TN1a_ITS2_S127_run1_2_R1_001.fastq.gz	/flash/HusnikU/Vera/Symbiodiniaceae/concat/TN1a_ITS2_S127_run1_2_R2_001.fastq.gz												3	Tridacna	TN1a				
Tridacna2	/flash/HusnikU/Vera/Symbiodiniaceae/concat/TN2a_ITS2_S128_run1_2_R1_001.fastq.gz	/flash/HusnikU/Vera/Symbiodiniaceae/concat/TN2a_ITS2_S128_run1_2_R2_001.fastq.gz												3	Tridacna	TN2a				
Tridacna3	/flash/HusnikU/Vera/Symbiodiniaceae/concat/TN3a_ITS2_S129_run1_2_R1_001.fastq.gz	/flash/HusnikU/Vera/Symbiodiniaceae/concat/TN3a_ITS2_S129_run1_2_R2_001.fastq.gz												3	Tridacna	TN3a				
Tridacna4	/flash/HusnikU/Vera/Symbiodiniaceae/concat/TN4a_ITS2_S130_run1_2_R1_001.fastq.gz	/flash/HusnikU/Vera/Symbiodiniaceae/concat/TN4a_ITS2_S130_run1_2_R2_001.fastq.gz												3	Tridacna	TN4a				
Tridacna5	/flash/HusnikU/Vera/Symbiodiniaceae/concat/TN5a_ITS2_S131_run1_2_R1_001.fastq.gz	/flash/HusnikU/Vera/Symbiodiniaceae/concat/TN5a_ITS2_S131_run1_2_R2_001.fastq.gz												3	Tridacna	TN5a				
Tridacna6	/flash/HusnikU/Vera/Symbiodiniaceae/concat/TN6a_ITS2_S132_run1_2_R1_001.fastq.gz	/flash/HusnikU/Vera/Symbiodiniaceae/concat/TN6a_ITS2_S132_run1_2_R2_001.fastq.gz												3	Tridacna	TN6a				
Tridacna7	/flash/HusnikU/Vera/Symbiodiniaceae/concat/TN7a_ITS2_S133_run1_2_R1_001.fastq.gz	/flash/HusnikU/Vera/Symbiodiniaceae/concat/TN7a_ITS2_S133_run1_2_R2_001.fastq.gz												3	Tridacna	TN7a				
Tridacna8	/flash/HusnikU/Vera/Symbiodiniaceae/concat/TN8a_ITS2_S134_run1_2_R1_001.fastq.gz	/flash/HusnikU/Vera/Symbiodiniaceae/concat/TN8a_ITS2_S134_run1_2_R2_001.fastq.gz												3	Tridacna	TN8a				
Tridacna9	/flash/HusnikU/Vera/Symbiodiniaceae/concat/TN9a_ITS2_S135_run1_2_R1_001.fastq.gz	/flash/HusnikU/Vera/Symbiodiniaceae/concat/TN9a_ITS2_S135_run1_2_R2_001.fastq.gz												3	Tridacna	TN9a				
Water1-1	/flash/HusnikU/Vera/Symbiodiniaceae/concat/W1_1_ITS2_S171_run1_2_R1_001.fastq.gz	/flash/HusnikU/Vera/Symbiodiniaceae/concat/W1_1_ITS2_S171_run1_2_R2_001.fastq.gz												1	Water	W1-1				
Water1-2	/flash/HusnikU/Vera/Symbiodiniaceae/concat/W1_2_ITS2_S172_run1_2_R1_001.fastq.gz	/flash/HusnikU/Vera/Symbiodiniaceae/concat/W1_2_ITS2_S172_run1_2_R2_001.fastq.gz												1	Water	W1-2				
Water1-3	/flash/HusnikU/Vera/Symbiodiniaceae/concat/W1_3_ITS2_S173_run1_2_R1_001.fastq.gz	/flash/HusnikU/Vera/Symbiodiniaceae/concat/W1_3_ITS2_S173_run1_2_R2_001.fastq.gz												1	Water	W1-3				
Water1-4	/flash/HusnikU/Vera/Symbiodiniaceae/concat/W1_4_ITS2_S174_run1_2_R1_001.fastq.gz	/flash/HusnikU/Vera/Symbiodiniaceae/concat/W1_4_ITS2_S174_run1_2_R2_001.fastq.gz												1	Water	W1-4				
