ASV	Phylum	Class	Order	Family	Genus	Species	Best_match	Label_match
ASV_408	Dinoflagellata	Dinophyceae	Suessiales	Symbiodiniaceae	Symbiodinium	5627_A_id98.7_A5ac	98.7_A5ac	ASV_408_98.7_A5ac
ASV_432	Dinoflagellata	Dinophyceae	Suessiales	Symbiodiniaceae	Symbiodinium	NA	97.4_A2w	ASV_432_97.4_A2w
ASV_433	Dinoflagellata	Dinophyceae	Suessiales	Symbiodiniaceae	clade_J	J_LC503409_17OKTs6-04	98.2_J_LC503420	ASV_433_98.2_J_LC503420
ASV_437	Dinoflagellata	Dinophyceae	Suessiales	Symbiodiniaceae	Freudenthalidium	6012_F_id92.2_F3.2	91.8_F3o	ASV_437_91.8_F3o
ASV_447	Dinoflagellata	Dinophyceae	Suessiales	Symbiodiniaceae	Freudenthalidium	5892_F_id87.7_F3.2	87.3_F3.2	ASV_447_87.3_F3.2
ASV_45	Dinoflagellata	Dinophyceae	Suessiales	Symbiodiniaceae	Symbiodinium	NA	75.8_A1my	ASV_45_75.8_A1my
ASV_459	Dinoflagellata	Dinophyceae	Suessiales	Symbiodiniaceae	clade_I	NA	I2f	ASV_459_I2f
ASV_461	Dinoflagellata	Dinophyceae	Suessiales	Symbiodiniaceae	Fugacium	NA	91.6_F5x	ASV_461_91.6_F5x
ASV_476	Dinoflagellata	Dinophyceae	Suessiales	Symbiodiniaceae	Symbiodinium	5632_A_id97.0_A2e	97_A2e	ASV_476_97_A2e
ASV_478	Dinoflagellata	Dinophyceae	Suessiales	Symbiodiniaceae	Freudenthalidium	5758_F_id98.9_F3m	98.9_F3m	ASV_478_98.9_F3m
ASV_485	Dinoflagellata	Dinophyceae	Suessiales	Symbiodiniaceae	Freudenthalidium	6013_F_id84.7_F3.2	84.7_F3.2	ASV_485_84.7_F3.2
ASV_487	Dinoflagellata	Dinophyceae	Suessiales	Symbiodiniaceae	Symbiodinium	NA	79.1_A1mw	ASV_487_79.1_A1mw
ASV_491	Dinoflagellata	Dinophyceae	Suessiales	Symbiodiniaceae	Freudenthalidium	NA	88.8_F3.2_F3o	ASV_491_88.8_F3.2_F3o
ASV_494	Dinoflagellata	Dinophyceae	Suessiales	Symbiodiniaceae	Symbiodinium	NA	77.5_A2u	ASV_494_77.5_A2u
ASV_5	Dinoflagellata	Dinophyceae	Suessiales	Symbiodiniaceae	Freudenthalidium	NA	96.7_F3o	ASV_5_96.7_F3o
ASV_502	Dinoflagellata	Dinophyceae	Suessiales	Symbiodiniaceae	Miliolidium	M_AM748617_D1.2	79.5_M_D1.2	ASV_502_79.5_M_D1.2
ASV_508	Dinoflagellata	Dinophyceae	Suessiales	Symbiodiniaceae	Freudenthalidium	6012_F_id92.2_F3.2	91.8_F3o	ASV_508_91.8_F3o
ASV_529	Dinoflagellata	Dinophyceae	Suessiales	Symbiodiniaceae	Cladocopium	NA	C15gk_C15em	ASV_529_C15gk_C15em
ASV_530	Dinoflagellata	Dinophyceae	Suessiales	Symbiodiniaceae	Fugacium	NA	96.6_F5x	ASV_530_96.6_F5x
ASV_535	Dinoflagellata	Dinophyceae	Suessiales	Symbiodiniaceae	Fugacium	F5.2c_AM748596_F5a_F5.2c	F5.2c_F5a	ASV_535_F5.2c_F5a
ASV_540	Dinoflagellata	Dinophyceae	Suessiales	Symbiodiniaceae	Cladocopium	NA	96.4_C1jz	ASV_540_96.4_C1jz
ASV_56	Dinoflagellata	Dinophyceae	Suessiales	Symbiodiniaceae	Symbiodinium	A_EU106351|_A2w_97.4_A2s_96.6	97.4_A2w	ASV_56_97.4_A2w
ASV_6	Dinoflagellata	Dinophyceae	Suessiales	Symbiodiniaceae	Symbiodinium	A6_AY686646|_A6_A6n_99.6	A6	ASV_6_A6
ASV_603	Dinoflagellata	Dinophyceae	Suessiales	Symbiodiniaceae	Freudenthalidium	NA	89.3_F3o	ASV_603_89.3_F3o
ASV_612	Dinoflagellata	Dinophyceae	Suessiales	Symbiodiniaceae	Durusdinium	D_EU074897_D6c_D6n_99.6	95.1_D3h	ASV_612_95.1_D3h
ASV_63	Dinoflagellata	Dinophyceae	Suessiales	Symbiodiniaceae	Symbiodinium	5624_A_id97.5_A2x	97.5_A2e_A2x	ASV_63_97.5_A2e_A2x
ASV_642	Dinoflagellata	Dinophyceae	Suessiales	Symbiodiniaceae	Cladocopium	NA	96.9_C1jz	ASV_642_96.9_C1jz
ASV_669	Dinoflagellata	Dinophyceae	Suessiales	Symbiodiniaceae	clade_Fr4	F4_AJ291528_F4.1_99.2_F4.1a_98.0	98.8_F4.1	ASV_669_98.8_F4.1
ASV_7	Dinoflagellata	Dinophyceae	Suessiales	Symbiodiniaceae	Symbiodinium	NA	A3	ASV_7_A3
ASV_705	Dinoflagellata	Dinophyceae	Suessiales	Symbiodiniaceae	Cladocopium	NA	97.9_C66au	ASV_705_97.9_C66au
ASV_708	Dinoflagellata	Dinophyceae	Suessiales	Symbiodiniaceae	Fugacium	F5.2a_AJ291532_F5.2_F5b	F5.2_F5b	ASV_708_F5.2_F5b
ASV_729	Dinoflagellata	Dinophyceae	Suessiales	Symbiodiniaceae	Symbiodinium	5765_A_id84.3_A1mr	99.6_A1di	ASV_729_99.6_A1di
ASV_738	Dinoflagellata	Dinophyceae	Suessiales	Symbiodiniaceae	Symbiodinium	5594_A_id79.7_A2w	99.6_A13i	ASV_738_99.6_A13i
ASV_74	Dinoflagellata	Dinophyceae	Suessiales	Symbiodiniaceae	Symbiodinium	5591_A_id80.5_A2w	98.7_A13i	ASV_74_98.7_A13i
ASV_768	Dinoflagellata	Dinophyceae	Suessiales	Symbiodiniaceae	Cladocopium	NA	98.7_C66au	ASV_768_98.7_C66au
ASV_784	Dinoflagellata	Dinophyceae	Suessiales	Symbiodiniaceae	Symbiodinium	A_EU106366	92.9_A2r	ASV_784_92.9_A2r
ASV_8	Dinoflagellata	Dinophyceae	Suessiales	Symbiodiniaceae	Durusdinium	NA	D4	ASV_8_D4
ASV_830	Dinoflagellata	Dinophyceae	Suessiales	Symbiodiniaceae	clade_J	NA	79.6_J_LC503420	ASV_830_79.6_J_LC503420
ASV_834	Dinoflagellata	Dinophyceae	Suessiales	Symbiodiniaceae	clade_J	NA	80.3_J_LC503420	ASV_834_80.3_J_LC503420
ASV_840	Dinoflagellata	Dinophyceae	Suessiales	Symbiodiniaceae	Symbiodinium	5596_A_id98.3_A5ac	98.3_A5ac	ASV_840_98.3_A5ac
ASV_852	Dinoflagellata	Dinophyceae	Suessiales	Symbiodiniaceae	clade_I	NA	97.4_I2	ASV_852_97.4_I2
ASV_869	Dinoflagellata	Dinophyceae	Suessiales	Symbiodiniaceae	Symbiodinium	NA	75.8_A4x_A4u	ASV_869_75.8_A4x_A4u
ASV_875	Dinoflagellata	Dinophyceae	Suessiales	Symbiodiniaceae	clade_J	NA	80.3_J_LC503420	ASV_875_80.3_J_LC503420
ASV_887	Dinoflagellata	Dinophyceae	Suessiales	Symbiodiniaceae	Cladocopium	C40c	94.7_C1jz	ASV_887_94.7_C1jz
ASV_894	Dinoflagellata	Dinophyceae	Suessiales	Symbiodiniaceae	Cladocopium	NA	95.5_C15ea	ASV_894_95.5_C15ea
ASV_898	Dinoflagellata	Dinophyceae	Suessiales	Symbiodiniaceae	Symbiodinium	NA	76.8_A2t	ASV_898_76.8_A2t
ASV_9	Dinoflagellata	Dinophyceae	Suessiales	Symbiodiniaceae	Cladocopium	NA	C21dp	ASV_9_C21dp
ASV_904	Dinoflagellata	Dinophyceae	Suessiales	Symbiodiniaceae	clade_J	J_LC503420_17OKTs7-09	99.6_J_LC503420	ASV_904_99.6_J_LC503420
ASV_916	Dinoflagellata	Dinophyceae	Suessiales	Symbiodiniaceae	clade_J	J_LC503409_17OKTs6-04	98.2_J_LC503420	ASV_916_98.2_J_LC503420
ASV_957	Dinoflagellata	Dinophyceae	Suessiales	Symbiodiniaceae	Symbiodinium	5840_A_id84.3_A1mr	A1di	ASV_957_A1di
ASV_960	Dinoflagellata	Dinophyceae	Suessiales	Symbiodiniaceae	Freudenthalidium	NA	85.1_F3s_F3p	ASV_960_85.1_F3s_F3p
ASV_971	Dinoflagellata	Dinophyceae	Suessiales	Symbiodiniaceae	Miliolidium	NA	85.7_M_D1.2	ASV_971_85.7_M_D1.2
ASV_974	Dinoflagellata	Dinophyceae	Suessiales	Symbiodiniaceae	Symbiodinium	NA	99.6_A5ac	ASV_974_99.6_A5ac
ASV_979	Dinoflagellata	Dinophyceae	Suessiales	Symbiodiniaceae	Cladocopium	NA	C50c	ASV_979_C50c
ASV_998	Dinoflagellata	Dinophyceae	Suessiales	Symbiodiniaceae	Symbiodinium	NA	77.1_A2u	ASV_998_77.1_A2u
