ASV	Algae1-1a1	Algae1-1a2	Algae1-2a1	Algae1-2a2	Algae1-5a1	Algae1-5a2	Algae1-6a1	Algae1-6a2	Algae2-2a5	Algae2-2a6	Algae2-5a3	Algae2-5a4	Algae2-6a3	Algae2-6a4	Algae2-7a3	Algae2-7a4	Stichodactyla1-1	Stichodactyla1-2	Porites1-12	Goniastrea1-14	Goniastrea1-1	Montipora1-2	Goniastrea1-3	Goniastrea1-5	Porites1-6	Goniastrea1-9	Goniastrea2-14	Goniastrea2-16	Goniastrea2-18	Goniastrea2-19	Porites2-1	Goniastrea2-2	Porites2-3	Montipora2-6	Porites2-7	Porites2-9	Amphisorus1-10	Sorites1-12	Sorites1-13	Sorites1-14	Amphisorus1-2	Amphisorus1-3	Amphisorus1-4	Amphisorus1-5	Amphisorus1-7	Sorites1-9	Amphisorus2-1	Sorites2-21	Sorites2-22	Sorites2-29	Amphisorus2-2	Amphisorus2-30	Amphisorus2-31	Amphisorus2-3	Amphisorus2-4	Amphisorus2-5	Amphisorus2-6	Sediment1-5a1	Sediment1-5a2	Sediment1-6a1	Sediment1-6a2	Sediment1-7a1	Sediment1-7a2	Sediment1-8a3	Sediment1-8a4	Sediment2-4a3	Sediment2-4a4	Sediment2-5a1	Sediment2-5a2	Sediment2-6a1	Sediment2-6a2	Sediment2-9a1	Sediment2-9a2	Water1-1	Water1-2	Water1-3	Water1-4	Water2-5	Water2-6	Water2-7	Water2-8	Tridacna1	Tridacna2	Tridacna3	Tridacna4	Tridacna5	Tridacna6	Tridacna7	Tridacna8	Tridacna9
ASV_21	763	794	102	335	991	1223	160	344	0	0	1083	186	879	353	978	566	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1486	1197	1271	1109	1325	1233	1976	1951	1065	1008	1665	1182	1361	1821	1169	1178	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_22	0	0	1422	1414	0	272	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3662	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3189	1503	2956	0	2185	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2864	1090	1505	2145	2599	342	299	0	2805
ASV_23	1069	639	807	974	937	980	159	223	107	0	1441	988	729	692	1388	1254	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	530	506	1065	1295	983	623	848	1052	1333	1009	829	514	1180	1280	1640	1697	0	0	0	25	387	127	205	560	0	0	0	0	0	0	0	0	0
ASV_24	0	0	0	0	498	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6723	0	0	0	0	0	4431	5855	0	0	0	0	0	0	0	0	0	0	0	8594	0	584	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_25	588	795	437	0	945	787	161	198	0	0	0	305	1105	1079	773	608	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	72	0	0	0	0	0	0	0	0	0	0	0	0	803	728	789	823	1058	1021	920	1007	958	437	675	780	1345	1407	1283	1197	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11101	0	0	0	0	2883	0	0	0	0	0	0	5784	0	0	2214	0	0	0	24	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1769	2025	2921	0	0	2442	0	1501	2320	1691	2038	1668	0	2132	0	0	0	524	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	101	0	0	0	0	0	0	0	0	0
ASV_28	0	0	0	0	0	0	0	0	0	0	124	0	0	0	0	0	0	0	1890	2072	3283	0	0	2566	0	1393	2055	1832	2238	1447	0	1977	0	0	0	231	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15752	0	0	0	0	0	464	0	0	0	0	0	414	0	0	0	845	281	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	949	1078	1362	1150	2634	2048	3264	5050	0	0	0	0	0	0	0	0	0
